iter	Passed	Remaining
561	3104	2419
562	3109	2413
563	3114	2408
564	3120	2402
565	3125	2396
566	3131	2391
567	3136	2385
568	3140	2379
569	3145	2373
570	3150	2367
571	3156	2361
572	3161	2355
573	3166	2349
574	3171	2344
575	3177	2338
576	3182	2333
577	3187	2327
578	3192	2321
579	3197	2315
580	3203	2309
581	3207	2303
582	3213	2298
583	3218	2292
584	3225	2287
585	3230	2282
586	3236	2276
587	3241	2270
588	3246	2265
589	3251	2259
590	3256	2253
591	3261	2247
592	3266	2242
593	3272	2237
594	3278	2231
595	3284	2226
596	3289	2220
597	3294	2214
598	3299	2208
599	3305	2203
600	3310	2197
601	3315	2192
602	3321	2186
603	3327	2181
604	3333	2176
605	3337	2170
606	3342	2164
607	3348	2158
608	3353	2152
609	3357	2146
610	3363	2141
611	3369	2136
612	3376	2131
613	3381	2125
614	3386	2119
615	3391	2114
616	3396	2108
617	3401	2102
618	3406	2096
619	3411	2091
620	3417	2085
621	3424	2080
622	3429	2075
623	3434	2069
624	3439	2063
625	3444	2057
626	3449	2052
627	3454	2046
628	3459	2040
629	3466	2035
630	3472	2030
631	3478	2025
632	3483	2019
633	3488	2013
634	3493	2008
635	3499	2002
636	3503	1996
637	3509	1991
638	3515	1985
639	3521	1980
640	3527	1975
641	3532	1969
642	3537	1964
643	3543	1958
644	3548	1953
645	3553	1947
646	3559	1941
647	3565	1936
648	3570	1931
649	3576	1925
650	3581	1920
651	3586	1914
652	3592	1908
653	3597	1903
654	3602	1897
655	3608	1892
656	3613	1886
657	3620	1881
658	3625	1875
659	3630	1870
660	3635	1864
661	3641	1859
662	3646	1853
663	3651	1847
664	3656	1842
665	3661	1836
666	3667	1830
667	3672	1825
668	3677	1819
669	3682	1813
670	3687	1808
671	3693	1802
672	3698	1796
673	3703	1791
674	3709	1785
675	3714	1780
676	3719	1774
677	3725	1769
678	3730	1763
679	3735	1758
680	3741	1752
681	3746	1746
682	3751	1741
683	3757	1735
684	3762	1730
685	3767	1724
686	3773	1719
687	3778	1713
688	3783	1707
689	3789	1702
690	3795	1697
691	3800	1691
692	3805	1685
693	3811	1680
694	3816	1675
695	3822	1669
696	3827	1663
697	3832	1658
698	3837	1652
699	3842	1646
700	3847	1641
701	3852	1635
702	3858	1630
703	3864	1624
704	3870	1619
705	3875	1613
706	3880	1608
707	3885	1602
708	3891	1597
709	3896	1591
710	3901	1585
711	3907	1580
712	3912	1575
713	3918	1569
714	3923	1564
715	3928	1558
716	3933	1552
717	3939	1547
718	3944	1541
719	3949	1536
720	3955	1530
721	3961	1525
722	3967	1520
723	3972	1514
724	3977	1508
725	3982	1503
726	3987	1497
727	3992	1491
728	3997	1486
729	4003	1480
730	4008	1475
731	4014	1469
732	4020	1464
733	4025	1458
734	4029	1452
735	4035	1447
736	4040	1441
737	4044	1435
738	4049	1430
739	4056	1425
740	4061	1419
741	4067	1414
742	4072	1408
743	4077	1402
744	4082	1397
745	4087	1391
746	4092	1386
747	4097	1380
748	4103	1375
749	4109	1369
750	4115	1364
751	4120	1358
752	4125	1353
753	4130	1347
754	4135	1341
755	4140	1336
756	4145	1330
757	4154	1326
758	4161	1321
759	4167	1316
760	4172	1310
761	4177	1304
762	4182	1299
763	4187	1293
764	4192	1287
765	4197	1282
766	4203	1277
767	4210	1271
768	4215	1266
769	4220	1260
770	4225	1255
771	4231	1249
772	4236	1244
773	4241	1238
774	4246	1232
775	4252	1227
776	4258	1222
777	4264	1216
778	4269	1211
779	4274	1205
780	4279	1200
781	4285	1194
782	4290	1189
783	4295	1183
784	4301	1178
785	4306	1172
786	4312	1167
787	4317	1161
788	4321	1155
789	4326	1150
790	4332	1144
791	4336	1139
792	4342	1133
793	4347	1127
794	4355	1123
795	4360	1117
796	4366	1112
797	4370	1106
798	4375	1100
799	4381	1095
800	4386	1089
801	4391	1084
802	4397	1078
803	4403	1073
804	4408	1067
805	4414	1062
806	4419	1056
807	4424	1051
808	4429	1045
809	4434	1040
810	4439	1034
811	4445	1029
812	4451	1023
813	4456	1018
814	4462	1012
815	4466	1007
816	4471	1001
817	4477	996
818	4482	990
819	4487	985
820	4492	979
821	4498	974
822	4504	968
823	4509	963
824	4514	957
825	4519	952
826	4524	946
827	4529	940
828	4534	935
829	4539	929
830	4545	924
831	4550	918
832	4556	913
833	4561	907
834	4566	902
835	4572	896
836	4577	891
837	4582	885
838	4587	880
839	4593	874
840	4598	869
841	4604	863
842	4609	858
843	4614	852
844	4619	847
845	4625	841
846	4630	836
847	4635	830
848	4640	825
849	4645	819
850	4650	814
851	4656	808
852	4661	803
853	4666	797
854	4671	792
855	4676	786
856	4681	781
857	4686	775
858	4692	770
859	4697	764
860	4702	759
861	4708	753
862	4713	748
863	4718	742
864	4724	737
865	4729	731
866	4734	726
867	4740	720
868	4745	715
869	4750	709
870	4756	704
871	4762	699
872	4767	693
873	4772	687
874	4778	682
875	4783	677
876	4788	671
877	4794	666
878	4799	660
879	4805	655
880	4810	649
881	4815	644
882	4820	638
883	4825	633
884	4830	627
885	4836	622
886	4841	616
887	4847	611
888	4853	605
889	4858	600
890	4863	594
891	4868	589
892	4873	583
893	4878	578
894	4883	572
895	4889	567
896	4895	562
897	4900	556
898	4906	551
899	4911	545
900	4916	540
901	4921	534
902	4926	529
903	4931	523
904	4936	518
905	4942	512
906	4948	507
907	4953	501
908	4958	496
909	4963	490
910	4969	485
911	4974	479
912	4979	474
913	4984	469
914	4990	463
915	4996	458
916	5001	452
917	5006	447
918	5011	441
919	5016	436
920	5021	430
921	5026	425
922	5032	419
923	5038	414
924	5044	408
925	5049	403
926	5054	398
927	5059	392
928	5064	387
929	5069	381
930	5074	376
931	5079	370
932	5085	365
933	5091	359
934	5097	354
935	5102	348
936	5107	343
937	5112	337
938	5117	332
939	5122	326
940	5127	321
941	5133	316
942	5139	310
943	5144	305
944	5150	299
945	5155	294
946	5160	288
947	5165	283
948	5170	277
949	5174	272
950	5180	266
951	5186	261
952	5192	256
953	5197	250
954	5202	245
955	5207	239
956	5213	234
957	5218	228
958	5223	223
959	5228	217
960	5234	212
961	5239	206
962	5245	201
963	5250	196
964	5255	190
965	5260	185
966	5266	179
967	5271	174
968	5276	168
969	5282	163
970	5288	157
971	5293	152
972	5298	147
973	5303	141
974	5309	136
975	5314	130
976	5319	125
977	5324	119
978	5330	114
979	5336	108
980	5341	103
981	5347	98
982	5352	92
983	5357	87
984	5362	81
985	5367	76
986	5372	70
987	5378	65
988	5383	59
989	5389	54
990	5394	48
991	5399	43
992	5404	38
993	5410	32
994	5414	27
995	5419	21
996	5425	16
997	5430	10
998	5436	5
999	5442	0
